"time_ms","x","y","z","qw","qx","qy","qz","abdomen_z","abdomen_y","abdomen_x","hip_x_right","hip_z_right","hip_y_right","knee_right","ankle_y_right","ankle_x_right","hip_x_left","hip_z_left","hip_y_left","knee_left","ankle_y_left","ankle_x_left","shoulder1_right","shoulder2_right","elbow_right","shoulder1_left","shoulder2_left","elbow_left"
5591.667,0.144984818,0.918795776,0.098621689,-0.978412,0.003817,-0.206365,0.010453,-0.0308433459990552,0.389283890293955,-0.0354375182875084,0.104484228577651,0.0100234758757786,0.373300441357762,0.266319131219627,-0.055593505476447,0.0645825206063872,-0.125516857507282,-0.0397576441310688,0.369464390425202,0.221062316956817,0.0306370178250527,0.0254214973763957,-0.0813076070220707,-0.155627156156335,0.800238122718886,-0.15895646040601,0.103375306631015,-1.52682797698064
5600,0.144997482,0.918800049,0.098654312,-0.978505,0.003873,-0.20592,0.0105,-0.0310493731291542,0.388370716821567,-0.035658578182487,0.104334982240874,0.0098722419272593,0.372443440607889,0.266221568915739,-0.055689733065874,0.0646289384705024,-0.125330325424883,-0.0397869413259132,0.3688688724379,0.221091199322176,0.0307423580389139,0.0253213389557288,-0.0815284501071123,-0.156409175348781,0.79959353218073,-0.160252450799714,0.105493437782685,-1.52468653333447
5608.333,0.145013321,0.918798645,0.098674301,-0.978595,0.00393,-0.205487,0.010548,-0.0312366234804463,0.387480446316477,-0.0358761722649334,0.104171113918094,0.0097159767657601,0.371617122018848,0.266148843854973,-0.0557526135177886,0.0646622076676007,-0.125146674980851,-0.0398208337277194,0.368209669562126,0.221125747474766,0.0307536185095374,0.0251953684357622,-0.0816688052498695,-0.157343626701002,0.798646907225803,-0.161657329530102,0.10761717565976,-1.52242317576263
5616.667,0.145022079,0.91879718,0.0986847,-0.978684,0.003998,-0.205059,0.010604,-0.0314848601359445,0.386607068090813,-0.036164975812858,0.10398016370312,0.00955898076455105,0.370753732890219,0.266045865694254,-0.0558415534649167,0.064719927023693,-0.124982313970469,-0.0398454296606567,0.367569396011831,0.221153521116693,0.0308369444654977,0.0251915444094569,-0.0818291304218056,-0.158221114844819,0.797792547994555,-0.162945125952129,0.110139957510661,-1.51974208524148
5625,0.145055054,0.918778381,0.098709572,-0.978785,0.004064,-0.20457,0.010673,-0.0317854106612459,0.38574138113046,-0.036388464285836,0.103787989097381,0.00935665084604587,0.369805666794306,0.265956970878422,-0.0559629610206851,0.064725839729764,-0.124812399441469,-0.0399010899606358,0.366827438576953,0.2212433079606,0.0308303133496045,0.0250533273034394,-0.0816574308557939,-0.159596847543723,0.796700907903852,-0.16417609612459,0.11222496129872,-1.51768520739755
5633.333,0.145056473,0.918778564,0.098730507,-0.97888,0.004136,-0.204114,0.01074,-0.0320952382527599,0.384854394381662,-0.0367047860984401,0.103594191241975,0.0091956633226176,0.368908027644655,0.265894187227163,-0.0560191740335628,0.0647682351820764,-0.124640362868392,-0.039923970218521,0.3661485200582,0.221312006820611,0.0308792830437893,0.0249657498826744,-0.0815637948572378,-0.160941195977656,0.795550896977697,-0.165380059431417,0.115060331887679,-1.51475889270086
5641.667,0.145057343,0.918783264,0.098761749,-0.978983,0.004249,-0.203614,0.010771,-0.032256818782898,0.383870023235256,-0.0371306031313464,0.103376500521649,0.00903992298219009,0.367959490868367,0.265855680456533,-0.0560750648108721,0.0648490914522535,-0.124690346982348,-0.0398926130971957,0.365656539363472,0.22165537577115,0.0308654853089725,0.0251056267080671,-0.081508672517726,-0.162269488581505,0.793330440572238,-0.166663680850224,0.117590219204953,-1.51218167308612
5650,0.145011185,0.918772278,0.098794327,-0.979104,0.004333,-0.203025,0.010876,-0.0325684081264364,0.38274570080674,-0.03749694446826,0.103140153610753,0.00890471004234844,0.366843017176263,0.265756597650036,-0.0562292244367046,0.0648886198176749,-0.124458895728972,-0.0399963063050137,0.363711723147279,0.22168072059941,0.0305026124600216,0.0249183550648564,-0.0816306573626439,-0.163328183962808,0.79145483129668,-0.167686528307949,0.121150293907768,-1.50835004927765
5658.333,0.145006577,0.918774658,0.098814369,-0.979205,0.004421,-0.202529,0.010956,-0.0328424648927761,0.381738777040768,-0.0378477989580263,0.102910010227176,0.00874772139935648,0.365865971839323,0.265684999007439,-0.0562848884858442,0.0649934627277648,-0.124367197070412,-0.040040984842898,0.362607086470299,0.221833694834822,0.0307043027056717,0.024969996779816,-0.0817782904018212,-0.164029869749581,0.790013920738059,-0.168959114461786,0.125074293555484,-1.50386206247908
5666.667,0.1450289,0.918783813,0.09883345,-0.979297,0.004508,-0.202077,0.01103,-0.0331501343744198,0.380809649304466,-0.0382287577045215,0.102696924439015,0.00855401440201612,0.364978468088487,0.265635159453368,-0.056264928104264,0.065113886854115,-0.124404739420193,-0.0400679768988885,0.361891990118403,0.222112929178729,0.0309287684786639,0.025092955989475,-0.0821132427187952,-0.16415721519062,0.790366929926656,-0.170348600898914,0.129027881010368,-1.49938961295141
